image_id,year,image_path,mean_brightness,mean_red,mean_green,mean_blue
00089,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/0184_alvin-record_541178_Meny, Hasselbacken, 1886/0001.jpg",0.5978192992455361,0.6510878364963305,0.6149693370714207,0.5274007241688575
00090,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/0184_alvin-record_541178_Meny, Hasselbacken, 1886/0002.jpg",0.6321941280876876,0.6862542062041297,0.6524631112046774,0.5578650668542557
00091,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/3855_alvin-record_544957_Meny, Hasselbacken, 1886/3855 0001.jpg",0.6995268081622613,0.7036765552215362,0.7106676890369408,0.6842361802283069
00092,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/3855_alvin-record_544957_Meny, Hasselbacken, 1886/3855 0002.jpg",0.9371422612500678,0.9400235210947261,0.9500533605928521,0.9213499020626257
00093,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/6003_alvin-record_547046_Meny, Hotel Rydberg, 1886/0001.jpg",0.6583955029865097,0.729588466007592,0.6753717102313486,0.5702263327205882
00094,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/6003_alvin-record_547046_Meny, Hotel Rydberg, 1886/0002.jpg",0.7472167640813634,0.8117549349783774,0.7677993620693893,0.6620959951963241
00095,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/6189_alvin-record_547176_Meny, Grand Hotel, 1886/0001.jpg",0.6620426869629025,0.7336849525689905,0.6842650037445535,0.5681781045751634
00096,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/6189_alvin-record_547176_Meny, Grand Hotel, 1886/0002.jpg",0.714318511929318,0.7781435416059987,0.7378267341899631,0.6269852599919918
00097,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7124_alvin-record_548075_Meny, Stora Teaterns Restaurant, 1886/0001.jpg",0.6774441440571957,0.7480346986551031,0.6975647590767076,0.5867329744397758
00098,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7124_alvin-record_548075_Meny, Stora Teaterns Restaurant, 1886/0002.jpg",0.6993942019365114,0.7636884979308752,0.7244518040458937,0.610042303832765
00099,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7125_alvin-record_548081_Meny, Vin-etablissement, Lilly Lundstedt National, 1886/0001.jpg",0.49011329687347577,0.5153159752707052,0.5114871186347673,0.44353679671495466
00100,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7125_alvin-record_548081_Meny, Vin-etablissement, Lilly Lundstedt National, 1886/0002.jpg",0.5112079261458857,0.5212685198278029,0.5332643602312719,0.4790908983785822
